document_ID,question_ID,question,prediction_ID,prediction_sentence
0,20,What is another name for terahertz radiation?,[26],"There is also a technique called 'T-ray' imaging, which is imaging using far-infrared or terahertz radiation."
0,21,What is a notable recent development in T-ray imaging?,[28],Recently T-ray imaging has been of considerable interest due to a number of new developments such as terahertz time-domain spectroscopy.
0,22,What technique is used in art to examine underlying layers of a painting without damaging it?,[29],"Infrared reflectography (fr; it; es), as called by art conservators, can be applied to paintings to reveal underlying layers in a completely non-destructive manner, in particular the underdrawing or outline drawn by the artist as a guide."
0,23,What shows up particularly well in reflectograms?,[30],"This often reveals the artist's use of carbon black, which shows up well in reflectograms, as long as it has not also been used in the ground underlying the whole painting."
0,24,What is the term for differences in the painting and underdrawing made by the original artist?,[31],Art conservators are looking to see whether the visible layers of paint differ from the underdrawing or layers in between – such alterations are called pentimenti when made by the original artist.
0,25,Who discovered infrared radiation?,[0],"Infrared radiation is used in industrial, scientific, and medical applications."
0,26,To whom did Herschel present his work on infrared radiation?,[35],"The discovery of infrared radiation is ascribed to William Herschel, the astronomer, in the early 19th century."
0,27,In what year did Herschel publish his work on infrared radiation?,[36],Herschel published his results in 1800 before the Royal Society of London.
0,28,What device did Herschel use to discover the infrared?,[37],"Herschel used a prism to refract light from the sun and detected the infrared, beyond the red part of the spectrum, through an increase in the temperature recorded on a thermometer."
0,29,What did Herschel call the infrared spectrum?,[37],"Herschel used a prism to refract light from the sun and detected the infrared, beyond the red part of the spectrum, through an increase in the temperature recorded on a thermometer."
0,30,What is a commonly used term for infrared radiation?,[0],"Infrared radiation is used in industrial, scientific, and medical applications."
0,31,What percentage of the Earth's heat is derived from the Sun's infrared light?,[41],"Infrared light from the Sun accounts for 49% of the heating of Earth, with the rest being caused by visible light that is absorbed then re-radiated at longer wavelengths."
0,32,"What is the common range of emitted radiation of room temperature objects, in micrometers? ",[43],"Objects at room temperature will emit radiation concentrated mostly in the 8 to 25 µm band, but this is not distinct from the emission of visible light by incandescent objects and ultraviolet by even hotter objects (see black body and Wien's displacement law)."
0,33,"Other than infrared light, what type of light is responsible for heating the Earth?",[41],"Infrared light from the Sun accounts for 49% of the heating of Earth, with the rest being caused by visible light that is absorbed then re-radiated at longer wavelengths."
0,34,What is another term for infrared homing?,[39],The term 'Infrared' did not appear until late in the 19th century.
0,35,What devices make use of infrared homing?,[44],"Infrared tracking, also known as infrared homing, refers to a passive missile guidance system, which uses the emission from a target of electromagnetic radiation in the infrared part of the spectrum to track it."
0,36,What is a common name for missiles that make use of infrared seeking?,[45],"Missiles that use infrared seeking are often referred to as ""heat-seekers"", since infrared (IR) is just below the visible spectrum of light in frequency and is radiated strongly by hot bodies."
0,37,"Along with aircraft and people, what objects notably create and retain heat?",[46],"Many objects such as people, vehicle engines, and aircraft generate and retain heat, and as such, are especially visible in the infrared wavelengths of light compared to objects in the background."
0,38,What does IR stand for?,[81],IR does not penetrate walls and so does not interfere with other devices in adjoining rooms.
0,39,"Along with Cirrus, what types of clouds are cold and high?",[47],"High, cold ice clouds such as Cirrus or Cumulonimbus show up bright white, lower warmer clouds such as Stratus or Stratocumulus show up as grey with intermediate clouds shaded accordingly."
0,40,What color do Cirrus clouds appear in infrared?,[39],The term 'Infrared' did not appear until late in the 19th century.
0,41,"Along with Stratus, what clouds are lower and warmer?",[47],"High, cold ice clouds such as Cirrus or Cumulonimbus show up bright white, lower warmer clouds such as Stratus or Stratocumulus show up as grey with intermediate clouds shaded accordingly."
0,42,What color are Strarus clouds in infrared?,[91],Earth's surface and the clouds absorb visible and invisible radiation from the sun and re-emit much of the energy as infrared back to atmosphere.
0,43,What is the range of the near-infrared channel in micrometers?,[50],"However, using the difference in brightness of the IR4 channel (10.3–11.5 µm) and the near-infrared channel (1.58–1.64 µm), low cloud can be distinguished, producing a fog satellite picture."
0,44,What limits the sensitivity of infrared telescopes on Earth?,[52],"The sensitivity of Earth-based infrared telescopes is significantly limited by water vapor in the atmosphere, which absorbs a portion of the infrared radiation arriving from space outside of selected atmospheric windows."
0,45,"To somewhat avoid the water vapor in the atmosphere, where can an observatory be sited?",[52],"The sensitivity of Earth-based infrared telescopes is significantly limited by water vapor in the atmosphere, which absorbs a portion of the infrared radiation arriving from space outside of selected atmospheric windows."
0,46,"Along with aircraft, what object can be used to carry a telescope aloft?",[53],"This limitation can be partially alleviated by placing the telescope observatory at a high altitude, or by carrying the telescope aloft with a balloon or an aircraft."
0,47,What sorts of telescopes completely avoid water vapor in Earth's atmosphere?,[52],"The sensitivity of Earth-based infrared telescopes is significantly limited by water vapor in the atmosphere, which absorbs a portion of the infrared radiation arriving from space outside of selected atmospheric windows."
0,48,What is the nearest wavelength to the radiation that a human eye can see?,[55],"Near-infrared is the region closest in wavelength to the radiation detectable by the human eye, mid- and far-infrared are progressively further from the visible spectrum."
0,49,"Along with the emission peaks and vs. bands mechanisms, what other physical mechanism is used to define near-infrared?",[56],"Other definitions follow different physical mechanisms (emission peaks, vs. bands, water absorption) and the newest follow technical reasons (the common silicon detectors are sensitive to about 1,050 nm, while InGaAs's sensitivity starts around 950 nm and ends between 1,700 and 2,600 nm, depending on the specific configuration)."
0,50,"In micrometers, when do common silicon detectors cease to be sensitive?",[56],"Other definitions follow different physical mechanisms (emission peaks, vs. bands, water absorption) and the newest follow technical reasons (the common silicon detectors are sensitive to about 1,050 nm, while InGaAs's sensitivity starts around 950 nm and ends between 1,700 and 2,600 nm, depending on the specific configuration)."
0,51,"What is the lowest level of sensitivity, in micrometers, for InGaAs?",[56],"Other definitions follow different physical mechanisms (emission peaks, vs. bands, water absorption) and the newest follow technical reasons (the common silicon detectors are sensitive to about 1,050 nm, while InGaAs's sensitivity starts around 950 nm and ends between 1,700 and 2,600 nm, depending on the specific configuration)."
0,52,What is the term for transit energy flowing as a result of differences in temperature?,[58],Heat is energy in transit that flows due to temperature difference.
0,53,What type of heat transmission can propagate through a vacuum?,[59],"Unlike heat transmitted by thermal conduction or thermal convection, thermal radiation can propagate through a vacuum."
0,54,What object emits thermal radiation in the X-ray spectrum?,[61],"Thermal radiation can be emitted from objects at any wavelength, and at very high temperatures such radiations are associated with spectra far above the infrared, extending into visible, ultraviolet, and even X-ray regions (i.e., the solar corona)."
0,55,"The visible, ultraviolet and X-ray spectra are all above what spectrum?",[61],"Thermal radiation can be emitted from objects at any wavelength, and at very high temperatures such radiations are associated with spectra far above the infrared, extending into visible, ultraviolet, and even X-ray regions (i.e., the solar corona)."
0,56,What is the range of the electromagnetic spectrum in micrometers?,[63],"Thermographic cameras detect radiation in the infrared range of the electromagnetic spectrum (roughly 900–14,000 nanometers or 0.9–14 μm) and produce images of that radiation."
0,57,"In nanometers, what is the electromagnetic spectrum's range?",[63],"Thermographic cameras detect radiation in the infrared range of the electromagnetic spectrum (roughly 900–14,000 nanometers or 0.9–14 μm) and produce images of that radiation."
0,58,What law states that infrared radiation is emitted by objects based on temperature?,[64],"Since infrared radiation is emitted by all objects based on their temperatures, according to the black body radiation law, thermography makes it possible to ""see"" one's environment with or without visible illumination."
0,59,What happens to the amount of radiation an object emits as temperature increases?,[65],"The amount of radiation emitted by an object increases with temperature, therefore thermography allows one to see variations in temperature (hence the name)."
0,60,What type of cameras see infrared radiation?,[23],Digital cameras often use infrared blockers.
0,61,What irradiates clouds of gas in the galaxy and makes them glow?,[67],"Cold, dark molecular clouds of gas and dust in our galaxy will glow with radiated heat as they are irradiated by imbedded stars."
0,62,What can be detected via infrared prior to their emitting visible light?,[68],Infrared can also be used to detect protostars before they begin to emit visible light.
0,63,What objects emit less of their energy as infrared light versus visible light?,[68],Infrared can also be used to detect protostars before they begin to emit visible light.
0,64,What sort of equipment uses the infrared spectrum in the absence of sufficient visible light?,[71],Infrared is used in night vision equipment when there is insufficient visible light to see.
0,65,What do night vision devices convert ambient light photons into?,[72],Night vision devices operate through a process involving the conversion of ambient light photons into electrons that are then amplified by a chemical and electrical process and then converted back into visible light.
0,66,"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",[72],Night vision devices operate through a process involving the conversion of ambient light photons into electrons that are then amplified by a chemical and electrical process and then converted back into visible light.
0,67,What is the IrDA?,[75],"These devices usually conform to standards published by IrDA, the Infrared Data Association."
0,68,What does the acronym LEDs stand for?,[76],Remote controls and IrDA devices use infrared light-emitting diodes (LEDs) to emit infrared radiation that is focused by a plastic lens into a narrow beam.
0,69,What is a term for when something is switched on and off?,[39],The term 'Infrared' did not appear until late in the 19th century.
0,70,What device is used to transform infrared radiation into an electric current?,[78],The receiver uses a silicon photodiode to convert the infrared radiation to an electric current.
0,71,Why does infrared not cause trouble for devices in adjacent rooms?,[81],IR does not penetrate walls and so does not interfere with other devices in adjoining rooms.
0,72,What letter represents the index of refraction?,[85],"By measuring the reflectance of light from the surface of a semiconductor wafer, the index of refraction (n) and the extinction Coefficient (k) can be determined via the Forouhi-Bloomer dispersion equations."
0,73,What letter represents the extinction Coefficient?,[85],"By measuring the reflectance of light from the surface of a semiconductor wafer, the index of refraction (n) and the extinction Coefficient (k) can be determined via the Forouhi-Bloomer dispersion equations."
0,74,What equations are used to figure out the index of refraction and extinction Coefficient?,[85],"By measuring the reflectance of light from the surface of a semiconductor wafer, the index of refraction (n) and the extinction Coefficient (k) can be determined via the Forouhi-Bloomer dispersion equations."
0,75,"Along with critical dimension and depth, what can the infrared light reflectance be used to determine in regard to high aspect ratio trench structures?",[86],"The reflectance from the infrared light can also be used to determine the critical dimension, depth, and sidewall angle of high aspect ratio trench structures."
0,76,What reflectance is measured from a semiconductor wafer's surface to determine the index of refraction?,[85],"By measuring the reflectance of light from the surface of a semiconductor wafer, the index of refraction (n) and the extinction Coefficient (k) can be determined via the Forouhi-Bloomer dispersion equations."
0,77,What is the name of the technique used in scanners to minimize the effects of dust and scratches?,[87],"Infrared cleaning is a technique used by some Motion picture film scanner, film scanners and flatbed scanners to reduce or remove the effect of dust and scratches upon the finished scan."
0,78,"Along with red and blue, what is the third visible color channel?",[88],"It works by collecting an additional infrared channel from the scan at the same position and resolution as the three visible color channels (red, green, and blue)."
0,79,"Along with replacement via inpainting, what procedure is used in infrared cleaning to remove the effect of scratches and dust?",[87],"Infrared cleaning is a technique used by some Motion picture film scanner, film scanners and flatbed scanners to reduce or remove the effect of dust and scratches upon the finished scan."
0,80,"Along with the visible light channels, what channel is used to locate scratches and dust in scanners?",[89],"The infrared channel, in combination with the other channels, is used to detect the location of scratches and dust."
0,81,"Along with the surface of the Earth, what objects absorb radiation from the sun?",[91],Earth's surface and the clouds absorb visible and invisible radiation from the sun and re-emit much of the energy as infrared back to atmosphere.
0,82,"After Earth surface's absorbs radiation, in what spectrum is much of it re-emitted?",[91],Earth's surface and the clouds absorb visible and invisible radiation from the sun and re-emit much of the energy as infrared back to atmosphere.
0,83,"Along with water vapor, what atmospheric substance primarily absorbs the infrared emitted by the Earth?",[92],"Certain substances in the atmosphere, chiefly cloud droplets and water vapor, but also carbon dioxide, methane, nitrous oxide, sulfur hexafluoride, and chlorofluorocarbons, absorb this infrared, and re-radiate it in all directions including back to Earth."
0,84,What notable warming effect does the presence of infrared absorbers contribute to?,[93],"Thus, the greenhouse effect keeps the atmosphere and surface much warmer than if the infrared absorbers were absent from the atmosphere."
1,0,What country is Guam a territory of?,[15],Guam is amongst the seventeen Non-Self-Governing Territories of the United Nations.
1,1,Where is the island of Guan located?,[75],The island experiences occasional earthquakes due to its location on the western edge of the Pacific Plate and near the Philippine Sea Plate.
1,2,How many people currently call Guam home as of 2015?,[3],"In 2015, 161,785 people resided on Guam."
1,3,What is the most populous city in Guam?,[2],"The capital city is Hagåtña, and the most populous city is Dededo."
1,4,What is the name of the largest mountain in Guam?,[6],"It is the largest and southernmost of the Mariana Islands, and the largest island in Micronesia."
1,5,What is the official name given for Guam's indigenous people?,[9],"The Chamorros, Guam's indigenous people, settled the island approximately 4,000 years ago."
1,6,When did Guam's indigenous people first arrive?,[9],"The Chamorros, Guam's indigenous people, settled the island approximately 4,000 years ago."
1,7,Who was the first European to visit the island?,[10],"Portuguese explorer Ferdinand Magellan was the first European to visit the island on March 6, 1521."
1,8,What year was Guam colonized?,[11],"Guam was colonized in 1668 with settlers, like Diego Luis de San Vitores, a Catholic missionary."
1,9,What year did the United States capture Guam?,[13],"During the Spanish–American War, the United States captured Guam on June 21, 1898."
1,10,"Along with Guam, which other territories were in the United States jurisdiction before WWII?",[142],The island is outside the United States customs zone so Guam is responsible for establishing and operating its own customs and quarantine agency and jurisdiction.
1,11,What was the date on the attack of Pearl Harbor?,[17],"On December 7, 1941, hours after the attack on Pearl Harbor, Guam was captured by the Japanese, and was occupied for thirty months."
1,12,What happened just after the attack on Peal Harbor?,[17],"On December 7, 1941, hours after the attack on Pearl Harbor, Guam was captured by the Japanese, and was occupied for thirty months."
1,13,How long did the Japanese occupation last?,[60],The Northern Mariana Islands had become a Japanese protectorate before the war.
1,14,Which four classes made up the ancient -Chamorro society?,[21],"The ancient-Chamorro society had four classes: chamorri (chiefs), matua (upper class), achaot (middle class), and mana'chang (lower class)."
1,15,Where were the matua located on the island?,[22],":20–21 The matua were located in the coastal villages, which meant they had the best access to fishing grounds, whereas the mana'chang were located in the interior of the island."
1,16,Where were the mana'chag located?,[22],":20–21 The matua were located in the coastal villages, which meant they had the best access to fishing grounds, whereas the mana'chang were located in the interior of the island."
1,17,What was the nationality of Magellan?,[15],Guam is amongst the seventeen Non-Self-Governing Territories of the United Nations.
1,18,What year did Magellan locate the island of Guam?,[9],"The Chamorros, Guam's indigenous people, settled the island approximately 4,000 years ago."
1,19,What were the name of outrigger canoes?,[30],"These outrigger canoes were called Proas, and resulted in Magellan naming Guam Islas de las Velas Latinas (""Islands of the Lateen sails"")."
1,20,In what year was Guam claimed by Spain?,[34],"Despite Magellan's visit, Guam was not officially claimed by Spain until January 26, 1565 by General Miguel López de Legazpi."
1,21,What was the name of the general who claimed Guam?,[34],"Despite Magellan's visit, Guam was not officially claimed by Spain until January 26, 1565 by General Miguel López de Legazpi."
1,22,What did Spain build to protect their fleet at Guam?,[36],":51 To protect these Pacific fleets, Spain built several defensive structures which are still standing today, such as Fort Nuestra Señora de la Soledad in Umatac."
1,23,When did Spanish colonization commence?,[38],"Spanish colonization commenced on June 15, 1668 with the arrival of Diego Luis de San Vitores and Pedro Calungsod, who established the first Catholic church."
1,24,Which two Spaniards aided this colonization and started the first catholic church?,[38],"Spanish colonization commenced on June 15, 1668 with the arrival of Diego Luis de San Vitores and Pedro Calungsod, who established the first Catholic church."
1,25,When did Guam's Cathedral first open?,[41],"Guam's Cathedral Dulce Nombre de Maria was formally opened on February 2, 1669, as was the Royal College of San Juan de Letran."
1,26,What was the name of the first Cathedral?,[10],"Portuguese explorer Ferdinand Magellan was the first European to visit the island on March 6, 1521."
1,27,When did the Smallpox epidemic take place?,[44],"Intermittent warfare lasting from July 23, 1670 until July 1695, plus the typhoons of 1671 and 1693, and in particular the smallpox epidemic of 1688, reduced the Chamorro population from 50,000 to 10,000 to less than 5,000.:86 Precipitated by the death of Quipuha, and the murder of Father San Vitores and Pedro Calungsod by local rebel chief Matapang, tensions led to a number of conflicts."
1,28,In what years was there intermittent war fare?,[60],The Northern Mariana Islands had become a Japanese protectorate before the war.
1,29,What did the smallpox epidemic reduce the population down to in Chamorro?,[44],"Intermittent warfare lasting from July 23, 1670 until July 1695, plus the typhoons of 1671 and 1693, and in particular the smallpox epidemic of 1688, reduced the Chamorro population from 50,000 to 10,000 to less than 5,000.:86 Precipitated by the death of Quipuha, and the murder of Father San Vitores and Pedro Calungsod by local rebel chief Matapang, tensions led to a number of conflicts."
1,30,What was the name of the person who started the campaign to pacify the area?,[45],"Captain Juan de Santiago started a campaign to pacify the island, which was continued by the successive commanders of the Spanish forces."
1,31,When did Captain Damian de Esplana arrive?,[47],"After his arrival in 1674, Captain Damian de Esplana ordered the arrest of rebels who attacked the population of certain towns."
1,32,What did Captain Damian do after his arrival?,[47],"After his arrival in 1674, Captain Damian de Esplana ordered the arrest of rebels who attacked the population of certain towns."
1,33,Who was the first Spanish Governor of Guam?,[49],":74–75 Starting in June 1676, the first Spanish Governor of Guam, Capt. Francisco de Irrisarri y Vinar controlled internal affairs more strictly than his predecessors in order to curb tensions."
1,34,In what year did Jose de Quiroga arrive?,[51],":75–76 Later, Capt. Jose de Quiroga arrived in 1680 and continued some of the development projects started by his predecessors."
1,35,in What year did Quiroga complete his pacification?,[55],":79 By July 1695, Quiroga had completed the pacification process in Guam, Rota, Tinian and Aguigan."
1,36,When did the United States take control of the island?,[57],"The United States took control of the island in the 1898 Spanish–American War, as part of the Treaty of Paris."
1,37,What happened that allowed the United States to have Guam?,[13],"During the Spanish–American War, the United States captured Guam on June 21, 1898."
1,38,What is the name of the executive order that transferred Guam over to the U.S?,[58],"Guam was transferred to U.S. Navy control on 23 December 1898 by Executive Order 108-A. Guam came to serve as a station for American ships traveling to and from the Philippines, while the Northern Mariana Islands passed to Germany, and then to Japan."
1,39,Which two people were exiled to Guam after the Philippine-American war?,[3],"In 2015, 161,785 people resided on Guam."
1,40,Why were the Chamorros brought to Guam?,[61],It was the Chamorros from the Northern Marianas who were brought to Guam to serve as interpreters and in other capacities for the occupying Japanese force.
1,41,How were Guamanian Chamorro viewed by the Japanese?,[62],The Guamanian Chamorros were treated as an occupied enemy by the Japanese military.
1,42,Who were loyal to Japan?,[64],"Guam's Chamorros believed their northern brethren should have been compassionate towards them, whereas having been occupied for over 30 years, the Northern Mariana Chamorros were loyal to Japan."
1,43,What established Guam as an unincorporated territory?,[65],"After World War II, the Guam Organic Act of 1950 established Guam as an unincorporated organized territory of the United States, provided for the structure of the island's civilian government, and granted the people U.S. citizenship."
1,44,What conflict did the Organic Act come after?,[65],"After World War II, the Guam Organic Act of 1950 established Guam as an unincorporated organized territory of the United States, provided for the structure of the island's civilian government, and granted the people U.S. citizenship."
1,45,What did the Guam Act allow the population now that they were a U.S territory?,[65],"After World War II, the Guam Organic Act of 1950 established Guam as an unincorporated organized territory of the United States, provided for the structure of the island's civilian government, and granted the people U.S. citizenship."
1,46,How many square miles is Guam?,[68],"Guam lies between 13.2°N and 13.7°N and between 144.6°E and 145.0°E, and has an area of 212 square miles (549 km2), making it the 32nd largest island of the United States."
1,47,How was this island chain created?,[70],This island chain was created by the colliding Pacific and Philippine Sea tectonic plates.
1,48,How deep is the Mariana Trench located near Guam?,[71],"Guam is the closest land mass to the Mariana Trench, a deep subduction zone, that lies beside the island chain to the east."
1,49,How many miles is Guam across?,[158],"According to many elders, ko'ko' birds were common in Guam before World War II."
1,50,What natural disaster that is not predictable does Guam have to worry about?,[147],The problem was exacerbated because the reptile has no natural predators on the island.
1,51,"Due to Guam being so close to Anatahan, what dod they have to worry about?",[78],"However, due to its proximity to Anatahan, vog (i.e. volcanic smog) does occasionally affect Guam."
1,52,What is Guam's climate characterized as?,[79],Guam's climate is characterized as tropical marine moderated by seasonal northeast trade winds.
1,53,What is the mean high temperature in Guam?,[81],"The mean high temperature is 86 °F (30 °C) and mean low is 76 °F (24 °C) with an average annual rainfall of 96 inches (2,180 mm)."
1,54,What is the average annual rainfall of Guam?,[81],"The mean high temperature is 86 °F (30 °C) and mean low is 76 °F (24 °C) with an average annual rainfall of 96 inches (2,180 mm)."
1,55,When does the dry season in Guam typical run?,[82],The dry season runs from December to June.
1,56,Which months are considered the coldest in Guam?,[84],The months of January and February are considered the coolest months of the year with overnight low temperatures of 70–75 °F (21–24 °C) and low humidity levels.
1,57,hat years did the Spanish rule Guam?,[43],"While Guam's Chamorro culture has indigenous roots, the cultures of both Guam and the Northern Marianas have many similarities with Spanish and Mexican culture due to three centuries of Spanish rule."
1,58,What religion was the general population converted to?,[88],During Spanish colonial rule (1668–1898) the majority of the population was converted to Roman Catholicism and religious festivities such as Easter and Christmas became widespread.
1,59,Which two major holidays become popular in Guam?,[117],"Lying in the western Pacific, Guam is a popular destination for Japanese tourists."
1,60,What is the name of the modern Chamorro language?,[90],The modern Chamorro language is a Malayo-Polynesian language with much Spanish and Filipino influence.
1,61,What two indiginous pre-hispanic culture has survived to this point?,[92],Two aspects of indigenous pre-Hispanic culture that withstood time are chenchule' and inafa'maolek.
1,62,What is the name of the intricate system in Guam?,[93],Chenchule' is the intricate system of reciprocity at the heart of Chamorro society.
1,63,What do the Chamorro believe in according to Historian Lawrence Cinningham,[95],"Historian Lawrence Cunningham in 1992 wrote, ""In a Chamorro sense, the land and its produce belong to everyone."
1,64,What is the culture of Pengngan Chamorro based on?,[99],"The core culture or Pengngan Chamorro is based on complex social protocol centered upon respect: From sniffing over the hands of the elders (called mangnginge in Chamorro), the passing down of legends, chants, and courtship rituals, to a person asking for permission from spiritual ancestors before entering a jungle or ancient battle grounds."
1,65,What does mangnging refer to that directly involves one major human scense?,[149],"While slightly venomous, the snake is relatively harmless to human beings."
1,66,What is a belembaotuyan in Guam?,[100],"Other practices predating Spanish conquest include galaide' canoe-making, making of the belembaotuyan (a string musical instrument made from a gourd), fashioning of åcho' atupat slings and slingstones, tool manufacture, Måtan Guma' burial rituals, and preparation of herbal medicines by Suruhanu."
1,67,What posses some challenges for the Chamorros who find it hard to keep their culture?,[101],The cosmopolitan and multicultural nature of modern Guam poses challenges for Chamorros struggling to preserve their culture and identity amidst forces of acculturation.
1,68,What else has led to the Chamorro find it hard to keep their culture that involves it's children?,[97],"This is the armature, or core, that everything in Chamorro culture revolves around."
1,69,What has recently led to a resurgence in the Chamorros culture and preservation of their old ways?,[103],"[citation needed] While only a few masters exist to continue traditional art forms, the resurgence of interest among the Chamorros to preserve the language and culture has resulted in a growing number of young Chamorros who seek to continue the ancient ways of the Chamorro people."
1,70,How many people make up the Guam legislation?,[3],"In 2015, 161,785 people resided on Guam."
1,71,Who is the current non-voting delegate for Guam?,[105],"Guam elects one non-voting delegate, currently Democrat Madeleine Z. Bordallo, to the United States House of Representatives."
1,72,How many electoral votes does Guam currently have?,[106],"U.S. citizens in Guam vote in a straw poll for their choice in the U.S. Presidential general election, but since Guam has no votes in the Electoral College, the poll has no real effect."
1,73,What major movement occurred in Guam in the 80's and 90's?,[165],Most fires are man-caused with 80% resulting from arson.
1,74,Why would Guam becoming a commonwealth be so important?,[109],"In the 1980s and early 1990s, there was a significant movement in favor of the territory becoming a commonwealth, which would give it a level of self-government similar to Puerto Rico and the Northern Mariana Islands."
1,75,What is the name of this U.S state that could possibly form a union with Guam?,[112],"Other movements advocate U.S. statehood for Guam, union with the state of Hawaii, union with the Northern Mariana Islands as a single territory, or independence."
1,76,What has the U.S military proposed?,[113],"The U.S. military has proposed building a new aircraft carrier berth on Guam and moving 8,600 Marines, and 9,000 of their dependents, to Guam from Okinawa, Japan."
1,77,How many Marines would the United States move to Guam?,[13],"During the Spanish–American War, the United States captured Guam on June 21, 1898."
1,78,"Because of the EPA, how many Marines would the United States be able to send to Guam to live?",[13],"During the Spanish–American War, the United States captured Guam on June 21, 1898."
1,79,What tourist commonly visits Guam?,[117],"Lying in the western Pacific, Guam is a popular destination for Japanese tourists."
1,80,Around how many Hotels does Guam currently have?,[158],"According to many elders, ko'ko' birds were common in Guam before World War II."
1,81,How many public golf courses does Guam currently have?,[119],"It is a relatively short flight from Asia or Australia compared to Hawaii, with hotels and seven public golf courses accommodating over a million tourists per year."
1,82,About how many tourist visit Guam yearly?,[117],"Lying in the western Pacific, Guam is a popular destination for Japanese tourists."
1,83,Which major U.S store does Guam currently have that happens to be the largest in the world?,[121],"Significant sources of revenue include duty-free designer shopping outlets, and the American-style malls: Micronesia Mall, Guam Premier Outlets, the Agana Shopping Center, and the world's largest Kmart."
1,84,"What is the name of the pact held between the United States, Micronesia, Marshal Islands, and Palau?",[123],"The Compacts of Free Association between the United States, the Federated States of Micronesia, the Republic of the Marshall Islands and the Republic of Palau accorded the former entities of the Trust Territory of the Pacific Islands a political status of ""free association"" with the United States."
1,85,What is the benefit of the  Compacts of Free Association?,[123],"The Compacts of Free Association between the United States, the Federated States of Micronesia, the Republic of the Marshall Islands and the Republic of Palau accorded the former entities of the Trust Territory of the Pacific Islands a political status of ""free association"" with the United States."
1,86,What has Guam claimed about Compacts of Free Association?,[123],"The Compacts of Free Association between the United States, the Federated States of Micronesia, the Republic of the Marshall Islands and the Republic of Palau accorded the former entities of the Trust Territory of the Pacific Islands a political status of ""free association"" with the United States."
